ID,AUI,CUI,CODE,TTY,TERM
130,A0072077,C1258215,10021328,PT,"ileus"
159,A25723087,C0920028,10062492,LLT,"leukemia recurrent"
165,A25723080,C0860450,10062446,LLT,"generalized skin reaction"
190,A25723071,C0001807,10062375,LLT,"aggressive behavior"
216,A1601256,C5234922,10019016,PT,"haemorrhagic stroke"
256,A25747010,C0022116,10054438,LLT,"ischemia"
259,A25737693,C0853891,10045150,LLT,"tumor flare"
304,A0747904,C0026858,10028391,PT,"musculoskeletal pain"
331,A1601291,C0233767,10019074,PT,"hallucination, tactile"
340,A25747005,C0233754,10054371,LLT,"derealization"
345,A1581972,C0855237,10041243,PT,"social avoidant behaviour"
422,A4363201,C0013687,10063045,PT,"effusion"
423,A0420020,C0221100,10019133,PT,"hangover"
466,A25737605,C0040479,10044067,LLT,"torsades de pointes"
496,A28943570,C0032219,10080899,PT,"pleomorphism"
560,A28943538,C3267084,10072260,PT,"amyloid related imaging abnormality-oedema/effusion"
573,A0047118,C0011570,10012378,PT,"depression"
605,A17034523,C2721595,10069431,PT,"orthostatic heart rate response increased"
612,A1228325,C0518988,10044016,PT,"tooth abscess"
636,A0410644,C1291078,10053155,PT,"epigastric discomfort"
644,A4363261,C0856761,10006537,PT,"budd-chiari syndrome"
679,A1581887,C0549297,10003800,PT,"auricular swelling"
704,A0987458,C0435002,10024453,PT,"ligament sprain"
838,A25747119,C0948425,10055302,LLT,"large intestinal hemorrhage"
849,A0747808,C0026846,10028289,PT,"muscle atrophy"
866,A1581940,C0262385,10003840,PT,"autonomic nervous system imbalance"
909,A0458557,C1527336,10040767,PT,"sjogren's syndrome"
936,A4363329,C0038325,10042033,PT,"stevens-johnson syndrome"
948,A0747844,C0240417,10056720,PT,"muscle mass"
960,A4363337,C0340865,10063119,PT,"anaphylactoid shock"
1025,A25723102,C0019087,10062720,LLT,"hemorrhagic diathesis"
1060,A1601109,C0549448,10018888,PT,"haemoglobin increased"
1076,A4363374,C5574950,10062909,PT,"netherton's syndrome"
1099,A28943404,C0948807,10052254,LLT,"hepatic impairment"
1115,A1591191,C0151577,10011372,PT,"creatinine renal clearance decreased"
1120,A2015778,C0948089,10051592,PT,"acute coronary syndrome"
1131,A1601073,C0239935,10018840,PT,"haematocrit increased"
1134,A1601070,C0018932,10018836,PT,"haematochezia"
1159,A12056855,C1868755,10066965,PT,"procedural headache"
1179,A12056865,C0160390,10067125,PT,"liver injury"
1217,A1581793,C0233414,10013496,PT,"disturbance in attention"
1284,A0542399,C0036974,10009192,PT,"circulatory collapse"
1410,A0037958,C0025218,10008570,PT,"chloasma"
1415,A25737846,C0006852,10046898,LLT,"vaginal candidiasis"
1426,A25737860,C0042345,10047001,LLT,"varicose veins"
1514,A17034211,C0273115,10069363,PT,"traumatic lung injury"
1556,A0106161,C0033581,10036978,PT,"prostatitis"
1560,A0106153,C0242453,10036976,PT,"prostatism"
1563,A0086984,C0026205,10027646,PT,"miosis"
1668,A2294905,C0006846,10054152,PT,"skin candida"
1669,A1591018,C0151555,10009189,PT,"cinchonism"
1681,A2294901,C0241057,10054786,PT,"skin burning sensation"
1687,A0434855,C0232943,10027295,PT,"menometrorrhagia"
1689,A0410884,C0014742,10015218,PT,"erythema multiforme"
1697,A1890207,C0877055,10048799,PT,"acute generalised exanthematous pustulosis"
1698,A1581679,C0264906,10003677,PT,"atrioventricular block second degree"
1701,A1581677,C0085614,10003674,PT,"atrioventricular block first degree"
1709,A0410892,C0014743,10015226,PT,"erythema nodosum"
1738,A0003977,C0085602,10036067,PT,"polydipsia"
1829,A0938214,C3494187,10016080,PT,"factor viii deficiency"
1853,A1581707,C0740279,10008027,PT,"cerebellar atrophy"
1889,A0649250,C0340278,10048623,PT,"atrial hypertrophy"
1894,A25737965,C0027708,10047985,LLT,"wilms tumor"
1923,A25723344,C1608426,10064844,LLT,"compensated cirrhosis"
1927,A25737946,C3714552,10047862,LLT,"weakness"
1936,A25737951,C3495801,10047888,LLT,"wegener's granulomatosis"
1939,A25737953,C5574742,10047893,LLT,"weight decrease"
1942,A28943663,C4552482,10080778,LLT,"csssi"
1948,A25723329,C1619727,10064704,LLT,"decompensated cirrhosis"
1994,A25713973,C0742115,10054860,LLT,"cerebritis"
2007,A25737915,C0547030,10047545,LLT,"visual disturbances"
2052,A28943603,C3495887,10072604,LLT,"aria-h"
2068,A25713928,C0236024,10054544,LLT,"pharyngeal edema"
2070,A25713926,C0521591,10054537,LLT,"paresthesia oral"
2114,A1086068,C0232201,10048815,PT,"sinus rhythm"
