SPL_ID,USER_ID,REVIEW_ID,REVIEW_TIME_IN_MS
283,7,1,3482524
319,7,1,324923
224,7,1,3116125
148,8,1,2155596
328,9,1,5855123
269,5,1,1164363
147,5,1,1527787
146,5,1,248314
105,5,1,1073616
311,12,1,1836090
281,9,1,3963399
212,5,1,6663099
314,13,1,316526
236,5,1,248637
238,12,1,204046
334,5,1,815190
189,12,1,573180
306,5,1,385764
141,5,1,282082
199,5,1,419196
116,5,1,177286
325,12,1,118205
289,5,1,8026678
178,10,1,805638
130,5,1,866217
186,10,1,142102
218,10,1,419710
343,5,1,265032
268,12,1,174810
250,12,1,1350957
245,5,1,185566
275,12,1,853786
332,12,1,63074
264,12,1,192827
188,15,1,946999
227,15,1,718626
219,15,1,440662
196,15,1,579137
288,15,1,374347
310,15,1,714822
190,15,1,176404
285,15,1,544096
203,15,1,356517
297,15,1,390510
300,5,1,294771
335,5,1,2039328
104,5,1,637329
265,10,1,202931
294,10,1,3821031
135,5,1,345688
344,10,1,726969
202,5,1,3729650
232,17,1,316040
213,17,1,112557
115,17,1,348023
210,11,1,4402430
222,10,1,103640
160,10,1,560871
321,10,1,237274
234,10,1,1511001
299,10,1,2182679
141,15,2,402872
250,15,2,304547
328,15,2,538654
272,16,1,655441
263,16,1,6370670
100,16,1,818834
269,17,2,204361
196,17,2,249523
343,15,2,265797
264,15,2,398161
272,15,2,353483
321,5,2,896169
281,5,2,421752
189,5,2,146035
148,5,2,301599
285,5,2,346871
189,4,3,103756
297,5,2,320047
190,5,2,189171
105,7,2,992291
213,6,2,750295
222,6,2,440907
202,6,2,11894479
218,17,2,175697
238,15,2,225061
245,15,2,208145
306,15,2,460261
115,15,2,352611
186,15,2,640829
116,15,2,398129
332,16,2,264742
135,16,2,155449
212,16,2,440553
160,8,2,1075958
314,17,2,155504
130,17,2,199595
268,9,2,551357
236,17,2,185296
105,4,3,139608
319,17,2,343806
115,4,3,128896
116,4,3,64196
299,9,2,2304814
130,4,3,110798
325,17,2,212497
135,4,3,64595
104,16,2,907603
141,4,3,173205
300,17,2,335157
148,4,3,113805
160,4,3,141498
186,4,3,43485
190,4,3,84205
196,4,3,19604
212,4,3,91894
213,4,3,28593
218,4,3,23261
222,4,3,47605
236,4,3,27610
335,16,2,2983374
238,4,3,132179
234,5,2,609631
104,4,3,333722
250,4,3,273355
234,4,3,44633
264,4,3,496098
275,5,2,2153875
310,9,2,3090343
269,4,3,39871
272,4,3,176901
281,4,3,174241
285,4,3,88942
297,4,3,84666
299,4,3,838682
300,4,3,31152
306,4,3,47259
314,4,3,74811
224,16,2,995901
319,4,3,25112
325,4,3,16981
328,4,3,90830
332,4,3,21121
335,4,3,191402
343,4,3,126884
147,9,2,4090784
265,5,2,154490
210,5,2,1908351
311,8,2,1082040
147,4,3,156251
224,4,3,456072
265,4,3,17258
275,4,3,254425
310,4,3,179272
311,4,3,348733
289,15,2,224234
178,15,2,358366
232,15,2,711863
283,15,2,240258
294,15,2,1410086
344,15,2,673092
263,15,2,257271
100,15,2,2194920
203,16,2,2509234
227,16,2,808353
100,4,3,269087
334,13,2,693183
146,13,2,121513
219,13,2,281166
188,13,2,373620
288,13,2,386679
146,4,3,15134
178,4,3,43939
188,4,3,75602
203,4,3,216579
219,4,3,60834
227,4,3,119191
232,4,3,227521
199,11,2,172231
199,4,3,71885
202,4,3,301514
210,4,3,254231
263,4,3,80948
283,4,3,32456
288,4,3,26970
289,4,3,35231
294,4,3,387731
334,4,3,47273
344,4,3,160081
245,4,3,37115
268,4,3,9281
321,4,3,25932
185,8,1,470476
175,8,1,2658545
175,16,2,1221645
185,16,2,694052
279,17,1,1453213
279,15,2,797908
171,15,1,1212933
226,15,1,637690
140,15,1,380391
140,17,2,1027065
171,5,2,861964
231,15,1,567742
296,15,1,1248126
226,17,2,754645
231,16,2,957345
296,16,2,900718
313,16,1,458151
126,16,1,666462
304,16,1,321817
242,16,1,700816
140,4,3,96118
171,4,3,275734
175,4,3,544959
185,4,3,208582
226,4,3,200869
231,4,3,141477
279,4,3,194330
296,4,3,658621
313,15,2,475705
304,15,2,302838
126,15,2,571485
126,4,3,223945
304,4,3,110066
313,4,3,94330
242,5,2,7880548
326,5,1,142453
326,15,2,175562
278,15,1,213545
278,13,2,206624
133,13,1,433646
133,16,2,400120
132,16,1,204535
233,16,1,372970
233,11,2,239938
241,16,1,2285655
197,16,1,509664
292,16,1,3625266
278,4,3,264036
133,4,3,398553
233,4,3,343297
326,4,3,56263
242,4,3,341640
273,16,1,520146
192,16,1,752573
273,5,2,477439
241,5,2,156478
292,9,2,1173376
197,9,2,829081
132,9,2,753038
192,6,2,1467574
151,6,1,1127450
298,6,1,769606
144,6,1,242315
206,6,1,273670
298,16,2,842447
151,5,2,1280586
206,5,2,422092
144,16,2,509731
318,16,1,817532
106,16,1,631186
207,16,1,2430614
165,16,1,542840
165,17,2,1335405
252,16,1,3027215
324,16,1,2864021
136,16,1,507038
309,16,1,419844
106,12,2,32531
207,12,2,346359
252,6,2,743147
318,6,2,238357
136,8,2,619963
324,8,2,1149777
106,4,3,38668
132,4,3,28127
136,4,3,138587
144,4,3,201556
151,4,3,70536
165,4,3,719417
192,4,3,241399
197,4,3,254092
206,4,3,20296
207,4,3,237594
253,12,1,212684
241,4,3,167373
252,4,3,356710
223,16,1,594692
273,4,3,2505948
262,16,1,491989
292,4,3,34421
298,4,3,514481
318,4,3,118583
324,4,3,2557046
