PT_CODE_1,CUI_1,TERM_1,TTY_1,PT_CODE_2,CUI_2,TERM_2,TTY_2,INTRINSIC_LCH,LCH,WUPALMER,WUPALMER_PERL,SOKAL,INTRINSIC_LIN,INTRINSIC_RESNIK,NATURE_NORM,MAX_METRIC,AUTOLIST,SMQ_CODE,HLT,HLGT,IN_SNOMED,INCLUDE,POSCTRL
10028533,C3463824,Myelodysplastic syndrome,PT,10062641,C0015786,Female sexual arousal disorder,PT,0.395359,3.178054,0.846154,0.468085,0.118422,0.349517,6.297072,0.804466,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10063121,C0014818,Erythroplasia,PT,0.41113,3.178054,0.6,0.153846,0.123348,0.36013,6.488274,0.828892,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10062901,C0175704,Multiple lentigines syndrome,PT,0.7958,3.178054,0.866667,0.448276,0.25145,0.573318,10.329182,1.319577,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10069378,C2721571,Solitary epithelioid histiocytoma,PT,2.1356,2.95491,0.871795,0.566667,0.713412,0.908737,16.372258,2.091594,0,0,0,0,0,0,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10049206,C0343243,Muscle abscess,PT,0.635843,3.178054,0.8,0.275862,0.194664,0.491579,8.805783,1.126368,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10062804,C0004779,Basal cell naevus syndrome,PT,0.7958,3.178054,0.866667,0.433333,0.25145,0.573318,10.329182,1.319577,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10001323,C0206667,Adrenal adenoma,PT,0.765329,3.178054,0.866667,0.448276,0.239974,0.558105,10.028875,1.28194,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10080721,C4552224,B-cell aplasia,PT,1.313819,2.95491,0.897959,0.814815,0.437887,0.757046,13.639319,1.742455,0,0,0,0,0,0,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10080323,C0349680,Acute bilineal leukaemia,PT,2.412936,3.178054,0.933333,0.875,0.789651,0.937562,16.891594,2.15794,0,0,0,0,1,1,1,1
10028533,C3463824,Myelodysplastic syndrome,PT,10053235,C0342500,Adrenal mass,PT,0.670211,3.178054,0.8,0.313725,0.200416,0.50065,8.805783,1.130903,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10015218,C0014742,Erythema multiforme,PT,0.414666,3.178054,0.857143,0.444444,0.122536,0.358394,6.41583,0.82078,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10054716,C0015397,Disorder of globe,PT,0.343816,3.178054,0.5,0.090909,0.041023,0.146111,2.115938,0.284649,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10069509,C0271893,Autoimmune pancytopenia,PT,1.546342,3.178054,0.904762,0.644068,0.521163,0.813209,14.651181,1.871723,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10069678,C1335762,Bone marrow reticulin fibrosis,PT,0.962354,3.178054,0.882353,0.652174,0.310514,0.643038,11.585302,1.480049,0,0,0,0,0,0,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10081037,C4552329,Tumour hyperprogression,PT,0.41113,3.178054,0.6,0.142857,0.123348,0.36013,6.488274,0.828892,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10089832,C0431112,Anaplastic ganglioglioma,PT,1.028974,3.178054,0.875,0.571429,0.33427,0.667602,12.019469,1.535748,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10089439,C0334569,Odontogenic myxoma,PT,1.027041,3.178054,0.875,0.54902,0.333804,0.667137,12.019469,1.535515,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10027469,C0153677,Metastases to the mediastinum,PT,0.806232,3.178054,0.866667,0.481481,0.253548,0.576034,10.329182,1.320935,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10058717,C1142081,Chronic lymphocytic leukaemia transformation,PT,2.412936,3.178054,0.933333,0.888889,0.789651,0.937562,16.891594,2.15794,0,0,0,0,1,0,0,1
10028533,C3463824,Myelodysplastic syndrome,PT,10069521,C1328840,Autoimmune lymphoproliferative syndrome,PT,2.140188,3.465736,0.945455,0.912281,0.714635,0.909232,16.372258,2.091842,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10042553,C0334438,Superficial spreading melanoma stage unspecified,PT,0.79657,3.178054,0.866667,0.440678,0.251604,0.573518,10.329182,1.319677,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10069421,C0340791,Lymphatic fistula,PT,1.284585,3.178054,0.916667,0.830189,0.427052,0.748834,13.481636,1.722581,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10027076,C0240318,Mediastinal mass,PT,0.709095,3.178054,0.8,0.313725,0.207091,0.510934,8.805783,1.136045,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10058822,C1142114,Bone marrow necrosis,PT,0.962354,3.178054,0.882353,0.638298,0.310514,0.643038,11.585302,1.480049,0,0,0,0,0,0,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10058972,C0005944,Bone metabolism disorder,PT,0.999089,3.178054,0.9,0.692308,0.291752,0.622319,10.184998,1.329659,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10015688,C1442903,Exostosis,PT,0.808542,3.178054,0.9,0.666667,0.25136,0.5732,10.184998,1.3051,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10051686,C0029411,Pachydermoperiostosis,PT,0.778343,3.178054,0.9,0.666667,0.245357,0.565315,10.184998,1.301157,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10026659,C0334590,Malignant oligodendroglioma,PT,0.761338,3.178054,0.866667,0.530612,0.239202,0.557059,10.028875,1.281417,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10026663,C0153378,Malignant palate neoplasm,PT,0.902674,3.178054,0.875,0.474576,0.288576,0.618688,11.126369,1.421981,0,0,0,0,0,1,0,0
10028533,C3463824,Myelodysplastic syndrome,PT,10033791,C1533592,Paraganglion neoplasm malignant,PT,0.759777,3.178054,0.866667,0.472727,0.2389,0.556649,10.028875,1.281212,0,0,0,0,0,1,0,0
